run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,curvature,graph_metric,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,tau_quantile,score,elapsed_sec,mean_density,empty_frac,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,0,42,spearman,curvature=1.0;gnn_input_clip=0.7;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.2,1.0,cosine,,,,,0.2,80.98,914.68,0.19624,0.0,0.7,1,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,1,42,spearman,curvature=4.0;gnn_input_clip=0.3;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.1,4.0,cosine,,,,,0.1,80.95,923.0,0.10028,0.0,0.3,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t2|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,2,42,spearman,curvature=1.0;gnn_input_clip=0.3;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;tau_quantile=0.1,1.0,cosine,,,,,0.1,79.91,776.62,0.10016,0.0,0.3,0,gat,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t3|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,3,42,spearman,curvature=4.0;gnn_input_clip=0.7;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;tau_quantile=0.025,4.0,cosine,,,,,0.025,79.9,924.09,0.0265,0.03125,0.7,0,gat,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t4|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,4,42,spearman,curvature=0.25;gnn_input_clip=0.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;tau_quantile=0.38,0.25,cosine,,,,,0.38,79.91,917.01,0.37559,0.0,0.0,0,gat,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t5|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,5,42,spearman,curvature=1.0;gnn_input_clip=0.0;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,79.87,921.01,0.04975,0.0,0.0,1,gat,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t6|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,6,42,spearman,curvature=0.25;gnn_input_clip=0.3;gnn_input_scale=1;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;tau_quantile=0.2,0.25,cosine,,,,,0.2,79.91,776.12,0.19613,0.0,0.3,1,gat,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t7|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,7,42,spearman,curvature=1.0;gnn_input_clip=0.7;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.38,1.0,cosine,,,,,0.38,80.96,912.11,0.37541,0.0,0.7,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t8|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,8,42,spearman,curvature=0.25;gnn_input_clip=0.3;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gat;hyperbolic_gnn=1;tau_quantile=0.38,0.25,cosine,,,,,0.38,79.91,842.62,0.37559,0.0,0.3,0,gat,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,tune,9,42,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.99,920.86,0.05015,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s1|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,1,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,79.89,743.8,0.02698,0.01172,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s2|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,2,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,78.36,758.94,0.02685,0.01562,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s3|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,3,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,78.31,756.49,0.02727,0.01953,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s4|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,4,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,78.53,760.82,0.0269,0.01172,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s5|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,5,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,77.02,762.09,0.02621,0.01562,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s6|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,6,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,78.89,752.19,0.02698,0.02344,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s7|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,7,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,79.51,761.23,0.02684,0.01172,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s8|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,8,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,79.73,760.95,0.02698,0.01562,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s9|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,9,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,76.31,911.07,0.0264,0.01562,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s10|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,10,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,78.09,769.21,0.02654,0.01562,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s11|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,11,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,79.27,764.02,0.02687,0.01562,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s12|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,12,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,79.98,765.45,0.02675,0.01172,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s13|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,13,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,79.14,763.82,0.02689,0.01562,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s14|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,14,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,79.4,769.6,0.02639,0.01172,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s15|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,confirm,1,15,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,79.33,886.54,0.02671,0.01562,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s1|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,1,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.53,923.36,0.05013,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s2|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,2,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.79,920.72,0.05015,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s3|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,3,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.25,929.76,0.04969,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s4|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,4,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,79.57,879.81,0.04961,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s5|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,5,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.19,920.53,0.04973,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s6|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,6,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.83,911.83,0.04971,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s7|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,7,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,79.97,915.81,0.0499,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s8|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,8,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,79.09,919.3,0.04987,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s9|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,9,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,79.86,884.82,0.04955,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s10|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,10,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.34,922.24,0.05029,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s11|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,11,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.52,933.29,0.04983,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s12|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,12,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,79.68,926.5,0.04914,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s13|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,13,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.86,931.7,0.04978,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s14|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,14,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.63,845.45,0.05037,0.0,1.0,0,gcn,1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|C|t9|s15|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,C,confirm,9,15,spearman,curvature=1.0;gnn_input_clip=1.0;gnn_input_scale=0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,1.0,cosine,,,,,0.05,80.45,911.19,0.0495,0.0,1.0,0,gcn,1
